Round,Timestamp,Depth,CA_Count,ROA_Count,BB_Count,Line_Cov_Percent
12,2026-02-04T17:48:16.914665,68,1,100,40718,N/A
15,2026-02-04T17:48:23.472674,77,1,100,40742,N/A
11,2026-02-04T17:48:30.156600,6,7,100,40830,N/A
4,2026-02-04T17:48:37.344814,69,9,100,40864,N/A
6,2026-02-04T17:48:44.663582,15,16,100,41017,N/A
19,2026-02-04T17:48:51.776086,71,14,100,40987,N/A
3,2026-02-04T17:48:59.018207,1,19,100,40903,N/A
13,2026-02-04T17:49:05.317719,19,32,100,41314,N/A
10,2026-02-04T17:49:12.285233,63,38,100,41435,N/A
20,2026-02-04T17:49:19.250747,30,50,100,41760,N/A
16,2026-02-04T17:49:26.627694,63,59,100,41908,N/A
7,2026-02-04T17:49:33.905612,55,56,100,41918,N/A
1,2026-02-04T17:49:41.196903,94,66,100,42020,N/A
5,2026-02-04T17:49:48.584457,44,60,100,41936,N/A
17,2026-02-04T17:49:55.911127,16,71,100,41947,N/A
23,2026-02-04T17:50:03.443557,26,15,100,40936,N/A
8,2026-02-04T17:50:10.231912,93,75,100,42067,N/A
18,2026-02-04T17:50:17.694555,6,88,100,41917,N/A
21,2026-02-04T17:50:25.058238,76,32,100,41346,N/A
2,2026-02-04T17:50:32.070982,66,72,100,42042,N/A
24,2026-02-04T17:50:39.698092,67,22,100,41122,N/A
14,2026-02-04T17:50:46.413200,44,97,100,42090,N/A
9,2026-02-04T17:50:54.307880,31,99,100,42093,N/A
28,2026-02-04T17:51:02.181642,53,31,100,41357,N/A
26,2026-02-04T17:51:09.095649,57,58,100,41943,N/A
27,2026-02-04T17:51:16.341728,6,63,100,41809,N/A
38,2026-02-04T17:51:23.688775,26,4,100,40752,N/A
29,2026-02-04T17:51:30.066512,18,48,100,41395,N/A
37,2026-02-04T17:51:37.305971,7,2,100,40753,N/A
32,2026-02-04T17:51:43.468519,8,26,100,41135,N/A
25,2026-02-04T17:51:50.155252,61,82,100,42146,N/A
30,2026-02-04T17:51:57.750237,40,44,100,41438,N/A
43,2026-02-04T17:52:04.837570,64,2,100,40755,N/A
42,2026-02-04T17:52:11.179349,26,3,100,40739,N/A
22,2026-02-04T17:52:17.329531,42,95,100,42147,N/A
41,2026-02-04T17:52:25.019504,91,28,100,41277,N/A
33,2026-02-04T17:52:31.846069,71,48,100,41529,N/A
31,2026-02-04T17:52:38.943212,52,64,100,42019,N/A
35,2026-02-04T17:52:46.182578,59,47,100,41500,N/A
36,2026-02-04T17:52:53.209509,25,61,100,41935,N/A
44,2026-02-04T17:53:00.638838,76,20,100,41082,N/A
34,2026-02-04T17:53:07.370539,99,73,100,42071,N/A
39,2026-02-04T17:53:14.914572,34,73,100,42069,N/A
54,2026-02-04T17:53:22.512181,39,7,100,40824,N/A
47,2026-02-04T17:53:29.150518,3,36,100,41247,N/A
40,2026-02-04T17:53:35.711557,26,96,100,42065,N/A
49,2026-02-04T17:53:43.348500,42,49,100,41645,N/A
53,2026-02-04T17:53:50.542568,52,65,100,42016,N/A
48,2026-02-04T17:53:58.176803,83,81,100,42113,N/A
45,2026-02-04T17:54:05.856336,74,95,100,42122,N/A
46,2026-02-04T17:54:13.654553,46,97,100,42111,N/A
50,2026-02-04T17:54:21.250146,85,93,100,42133,N/A
63,2026-02-04T17:54:29.173306,57,32,100,41333,N/A
51,2026-02-04T17:54:36.040633,55,98,100,42125,N/A
55,2026-02-04T17:54:43.712565,33,83,100,42072,N/A
57,2026-02-04T17:54:51.304576,72,71,100,42037,N/A
61,2026-02-04T17:54:58.716805,39,61,100,41982,N/A
52,2026-02-04T17:55:06.056747,98,95,100,42137,N/A
64,2026-02-04T17:55:13.805630,88,37,100,41406,N/A
62,2026-02-04T17:55:20.733545,88,64,100,42026,N/A
56,2026-02-04T17:55:28.116047,38,82,100,42113,N/A
59,2026-02-04T17:55:35.773553,97,76,100,42076,N/A
58,2026-02-04T17:55:43.504843,55,92,100,42109,N/A
60,2026-02-04T17:55:51.125852,26,95,100,42071,N/A
65,2026-02-04T17:55:58.718515,48,51,100,41794,N/A
66,2026-02-04T17:56:05.797720,6,42,100,41287,N/A
67,2026-02-04T17:56:12.577947,4,80,100,41877,N/A
68,2026-02-04T17:56:19.839850,28,87,100,42043,N/A
69,2026-02-04T17:56:27.494842,79,48,100,41513,N/A
70,2026-02-04T17:56:34.723998,99,23,100,41101,N/A
71,2026-02-04T17:56:41.534731,96,46,100,41445,N/A
72,2026-02-04T17:56:48.787556,12,36,100,41229,N/A
73,2026-02-04T17:56:56.006819,40,22,100,41119,N/A
74,2026-02-04T17:57:02.828123,9,32,100,41284,N/A
75,2026-02-04T17:57:09.855165,65,94,100,42148,N/A
76,2026-02-04T17:57:17.578623,52,51,100,41775,N/A
77,2026-02-04T17:57:24.769687,80,56,100,41898,N/A
78,2026-02-04T17:57:31.921069,19,6,100,40826,N/A
79,2026-02-04T17:57:38.525566,16,2,100,40758,N/A
80,2026-02-04T17:57:44.812932,29,62,100,42015,N/A
82,2026-02-04T17:57:52.063029,82,5,100,40783,N/A
81,2026-02-04T17:57:58.480151,15,92,100,41987,N/A
83,2026-02-04T17:58:06.517590,64,5,100,40784,N/A
84,2026-02-04T17:58:12.938605,64,76,100,42080,N/A
85,2026-02-04T17:58:20.326590,34,33,100,41375,N/A
86,2026-02-04T17:58:27.142058,76,84,100,42104,N/A
87,2026-02-04T17:58:34.804874,15,30,100,41249,N/A
89,2026-02-04T17:58:41.843071,70,9,100,40853,N/A
88,2026-02-04T17:58:48.458567,69,93,100,42103,N/A
91,2026-02-04T17:58:56.263638,36,37,100,41413,N/A
90,2026-02-04T17:59:03.152619,86,98,100,42147,N/A
92,2026-02-04T17:59:11.109556,3,30,100,41158,N/A
94,2026-02-04T17:59:17.724800,97,7,100,40830,N/A
93,2026-02-04T17:59:24.344021,2,64,100,41801,N/A
95,2026-02-04T17:59:31.365542,7,25,100,41110,N/A
96,2026-02-04T17:59:38.261399,16,23,100,41073,N/A
97,2026-02-04T17:59:45.316096,1,96,100,41870,N/A
98,2026-02-04T17:59:52.282579,75,81,100,42089,N/A
99,2026-02-04T17:59:59.845632,66,35,100,41366,N/A
100,2026-02-04T18:00:06.769606,22,69,100,41982,N/A
101,2026-02-04T18:00:14.301604,51,23,100,41105,N/A
103,2026-02-04T18:00:21.106886,59,27,100,41263,N/A
102,2026-02-04T18:00:27.893559,50,94,100,42116,N/A
104,2026-02-04T18:00:35.435571,3,47,100,41312,N/A
105,2026-02-04T18:00:42.346583,19,25,100,41219,N/A
106,2026-02-04T18:00:49.448767,13,8,100,40838,N/A
107,2026-02-04T18:00:56.168737,28,86,100,42047,N/A
108,2026-02-04T18:01:03.794584,29,95,100,42123,N/A
110,2026-02-04T18:01:11.420835,89,4,100,40764,N/A
109,2026-02-04T18:01:17.904059,93,88,100,42139,N/A
111,2026-02-04T18:01:25.574560,25,54,100,41794,N/A
112,2026-02-04T18:01:32.985578,76,66,100,42062,N/A
113,2026-02-04T18:01:40.442646,17,78,100,41989,N/A
114,2026-02-04T18:01:48.125565,58,73,100,42090,N/A
115,2026-02-04T18:01:55.667636,90,33,100,41423,N/A
117,2026-02-04T18:02:02.553578,46,11,100,40865,N/A
116,2026-02-04T18:02:09.258619,17,100,100,42053,N/A
118,2026-02-04T18:02:17.105611,5,28,100,41175,N/A
119,2026-02-04T18:02:23.898538,15,7,100,40860,N/A
120,2026-02-04T18:02:30.523564,23,6,100,40832,N/A
121,2026-02-04T18:02:37.121576,72,49,100,41670,N/A
122,2026-02-04T18:02:44.121622,51,96,100,42142,N/A
123,2026-02-04T18:02:52.210471,54,72,100,42066,N/A
124,2026-02-04T18:02:59.749795,75,89,100,42099,N/A
125,2026-02-04T18:03:07.544673,58,93,100,42108,N/A
126,2026-02-04T18:03:15.278539,40,99,100,42104,N/A
127,2026-02-04T18:03:23.153017,80,40,100,41447,N/A
128,2026-02-04T18:03:30.199555,71,3,100,40773,N/A
129,2026-02-04T18:03:36.627650,86,79,100,42106,N/A
130,2026-02-04T18:03:44.174567,3,85,100,41877,N/A
131,2026-02-04T18:03:51.413564,61,46,100,41483,N/A
132,2026-02-04T18:03:58.448580,85,31,100,41367,N/A
133,2026-02-04T18:04:05.287966,31,21,100,41090,N/A
134,2026-02-04T18:04:12.005573,88,59,100,41941,N/A
135,2026-02-04T18:04:19.098356,93,65,100,42006,N/A
136,2026-02-04T18:04:26.543723,65,21,100,41099,N/A
137,2026-02-04T18:04:33.260554,8,67,100,41886,N/A
138,2026-02-04T18:04:40.559227,26,21,100,41084,N/A
139,2026-02-04T18:04:47.515311,39,32,100,41352,N/A
140,2026-02-04T18:04:54.420013,69,66,100,42045,N/A
141,2026-02-04T18:05:01.908027,25,26,100,41297,N/A
142,2026-02-04T18:05:08.693514,46,8,100,40815,N/A
143,2026-02-04T18:05:15.375961,8,99,100,41920,N/A
144,2026-02-04T18:05:22.873730,9,47,100,41334,N/A
145,2026-02-04T18:05:29.995649,73,41,100,41420,N/A
146,2026-02-04T18:05:37.045750,80,69,100,42045,N/A
147,2026-02-04T18:05:44.540577,85,83,100,42121,N/A
148,2026-02-04T18:05:52.139657,71,67,100,42026,N/A
149,2026-02-04T18:05:59.724742,99,69,100,42075,N/A
150,2026-02-04T18:06:07.058149,15,57,100,41779,N/A
151,2026-02-04T18:06:14.489151,88,10,100,40849,N/A
152,2026-02-04T18:06:21.250196,22,69,100,41982,N/A
153,2026-02-04T18:06:28.714763,41,46,100,41514,N/A
154,2026-02-04T18:06:35.894584,19,78,100,41987,N/A
155,2026-02-04T18:06:43.569054,48,47,100,41496,N/A
157,2026-02-04T18:06:50.494385,21,35,100,41344,N/A
156,2026-02-04T18:06:57.451618,52,96,100,42151,N/A
158,2026-02-04T18:07:05.338345,42,75,100,42070,N/A
159,2026-02-04T18:07:13.054074,22,83,100,42040,N/A
160,2026-02-04T18:07:20.834608,45,28,100,41278,N/A
161,2026-02-04T18:07:27.780081,46,85,100,42116,N/A
162,2026-02-04T18:07:35.372710,93,40,100,41456,N/A
163,2026-02-04T18:07:42.352600,7,58,100,41727,N/A
164,2026-02-04T18:07:49.627313,70,49,100,41655,N/A
165,2026-02-04T18:07:56.871711,69,40,100,41441,N/A
166,2026-02-04T18:08:03.786818,25,4,100,40766,N/A
167,2026-02-04T18:08:10.398593,77,79,100,42131,N/A
168,2026-02-04T18:08:17.935980,13,96,100,41928,N/A
169,2026-02-04T18:08:25.784005,54,79,100,42138,N/A
170,2026-02-04T18:08:33.450903,71,24,100,41194,N/A
171,2026-02-04T18:08:40.334748,78,18,100,41102,N/A
172,2026-02-04T18:08:47.288101,6,26,100,41129,N/A
173,2026-02-04T18:08:54.124626,30,52,100,41833,N/A
174,2026-02-04T18:09:01.504830,75,5,100,40796,N/A
175,2026-02-04T18:09:07.879537,30,23,100,41124,N/A
176,2026-02-04T18:09:14.562555,36,89,100,42138,N/A
177,2026-02-04T18:09:22.147068,37,96,100,42119,N/A
179,2026-02-04T18:09:29.853579,88,15,100,40919,N/A
178,2026-02-04T18:09:36.570077,77,82,100,42132,N/A
181,2026-02-04T18:09:44.040838,74,19,100,41091,N/A
180,2026-02-04T18:09:50.829591,38,88,100,42127,N/A
182,2026-02-04T18:09:58.241609,89,39,100,41419,N/A
183,2026-02-04T18:10:05.274148,38,77,100,42114,N/A
184,2026-02-04T18:10:12.823642,3,43,100,41254,N/A
185,2026-02-04T18:10:19.604627,47,71,100,42066,N/A
186,2026-02-04T18:10:26.901739,75,52,100,41821,N/A
187,2026-02-04T18:10:34.131631,2,12,100,40862,N/A
188,2026-02-04T18:10:40.520044,24,62,100,41927,N/A
189,2026-02-04T18:10:47.998589,16,22,100,41061,N/A
190,2026-02-04T18:10:54.823581,91,84,100,42111,N/A
191,2026-02-04T18:11:02.521939,86,99,100,42120,N/A
192,2026-02-04T18:11:10.576097,4,52,100,41637,N/A
193,2026-02-04T18:11:17.233586,7,59,100,41733,N/A
194,2026-02-04T18:11:24.515346,44,44,100,41401,N/A
195,2026-02-04T18:11:31.434657,67,1,100,40723,N/A
197,2026-02-04T18:11:37.582554,55,19,100,41058,N/A
196,2026-02-04T18:11:44.235118,52,94,100,42133,N/A
199,2026-02-04T18:11:51.979556,34,1,100,40717,N/A
198,2026-02-04T18:11:58.126598,92,87,100,42116,N/A
200,2026-02-04T18:12:05.698560,8,12,100,40914,N/A
201,2026-02-04T18:12:12.320466,51,100,100,42125,N/A
202,2026-02-04T18:12:19.984714,34,63,100,41984,N/A
203,2026-02-04T18:12:27.351751,40,4,100,40787,N/A
204,2026-02-04T18:12:33.619886,6,63,100,41829,N/A
205,2026-02-04T18:12:40.777572,12,96,100,41974,N/A
206,2026-02-04T18:12:48.741346,95,61,100,41958,N/A
207,2026-02-04T18:12:56.152743,5,57,100,41699,N/A
208,2026-02-04T18:13:03.436185,96,28,100,41281,N/A
210,2026-02-04T18:13:10.256101,28,8,100,40861,N/A
209,2026-02-04T18:13:16.796894,27,72,100,42019,N/A
211,2026-02-04T18:13:24.286697,46,70,100,42003,N/A
213,2026-02-04T18:13:31.803300,87,16,100,41031,N/A
212,2026-02-04T18:13:38.582537,10,87,100,41937,N/A
214,2026-02-04T18:13:46.322598,86,64,100,41956,N/A
215,2026-02-04T18:13:53.753073,89,42,100,41400,N/A
216,2026-02-04T18:14:00.821025,99,43,100,41462,N/A
217,2026-02-04T18:14:07.890562,61,75,100,42079,N/A
218,2026-02-04T18:14:15.144637,40,69,100,42017,N/A
219,2026-02-04T18:14:22.462588,15,35,100,41260,N/A
220,2026-02-04T18:14:29.484603,31,35,100,41376,N/A
222,2026-02-04T18:14:36.479231,3,9,100,40773,N/A
221,2026-02-04T18:14:42.938599,12,90,100,41946,N/A
223,2026-02-04T18:14:50.599562,88,33,100,41360,N/A
224,2026-02-04T18:14:57.474575,38,49,100,41585,N/A
225,2026-02-04T18:15:04.673567,21,23,100,41112,N/A
226,2026-02-04T18:15:11.527565,18,26,100,41231,N/A
228,2026-02-04T18:15:18.591538,43,8,100,40862,N/A
227,2026-02-04T18:15:25.229361,91,74,100,42120,N/A
229,2026-02-04T18:15:32.556256,7,4,100,40761,N/A
230,2026-02-04T18:15:38.938555,10,34,100,41314,N/A
231,2026-02-04T18:15:45.931047,92,15,100,40906,N/A
232,2026-02-04T18:15:52.683655,63,35,100,41388,N/A
233,2026-02-04T18:15:59.639862,97,1,100,40717,N/A
234,2026-02-04T18:16:05.835883,62,38,100,41435,N/A
235,2026-02-04T18:16:12.699539,75,58,100,41932,N/A
236,2026-02-04T18:16:19.862911,39,74,100,42101,N/A
237,2026-02-04T18:16:27.362964,29,50,100,41759,N/A
238,2026-02-04T18:16:34.465752,29,59,100,41903,N/A
239,2026-02-04T18:16:41.869570,81,100,100,42126,N/A
240,2026-02-04T18:16:49.826122,1,64,100,41782,N/A
241,2026-02-04T18:16:56.471018,82,68,100,42043,N/A
242,2026-02-04T18:17:03.933123,99,3,100,40778,N/A
243,2026-02-04T18:17:10.276994,12,18,100,41035,N/A
244,2026-02-04T18:17:17.010562,57,65,100,42033,N/A
246,2026-02-04T18:17:24.327294,93,28,100,41274,N/A
245,2026-02-04T18:17:31.247685,44,97,100,42144,N/A
247,2026-02-04T18:17:39.009249,43,10,100,40862,N/A
248,2026-02-04T18:17:45.718440,56,58,100,41937,N/A
249,2026-02-04T18:17:53.013578,41,91,100,42127,N/A
250,2026-02-04T18:18:00.695583,39,40,100,41427,N/A
251,2026-02-04T18:18:07.773842,65,70,100,42096,N/A
253,2026-02-04T18:18:15.218723,53,37,100,41403,N/A
252,2026-02-04T18:18:22.266675,68,99,100,42174,N/A
254,2026-02-04T18:18:30.187577,96,75,100,42123,N/A
256,2026-02-04T18:18:37.794166,25,35,100,41351,N/A
255,2026-02-04T18:18:44.815607,21,88,100,41995,N/A
257,2026-02-04T18:18:52.684561,43,96,100,42144,N/A
258,2026-02-04T18:19:00.377880,63,65,100,42026,N/A
259,2026-02-04T18:19:07.799331,13,60,100,41809,N/A
260,2026-02-04T18:19:15.159648,59,93,100,42131,N/A
261,2026-02-04T18:19:22.864633,35,64,100,42023,N/A
262,2026-02-04T18:19:30.372580,61,85,100,42139,N/A
264,2026-02-04T18:19:38.095103,41,14,100,40928,N/A
263,2026-02-04T18:19:44.747755,11,79,100,41960,N/A
265,2026-02-04T18:19:52.427015,67,90,100,42130,N/A
266,2026-02-04T18:20:00.150937,83,20,100,41127,N/A
267,2026-02-04T18:20:07.027573,91,83,100,42141,N/A
268,2026-02-04T18:20:14.658528,41,79,100,42092,N/A
269,2026-02-04T18:20:22.261838,83,63,100,41981,N/A
270,2026-02-04T18:20:29.538556,12,25,100,41166,N/A
271,2026-02-04T18:20:36.464614,69,54,100,41863,N/A
272,2026-02-04T18:20:43.583909,97,24,100,41150,N/A
273,2026-02-04T18:20:50.413608,54,66,100,42076,N/A
274,2026-02-04T18:20:57.636907,79,3,100,40767,N/A
275,2026-02-04T18:21:03.972607,84,56,100,41944,N/A
276,2026-02-04T18:21:11.280577,53,22,100,41090,N/A
278,2026-02-04T18:21:18.022868,58,13,100,40880,N/A
277,2026-02-04T18:21:24.745661,49,95,100,42114,N/A
279,2026-02-04T18:21:32.603558,20,7,100,40862,N/A
280,2026-02-04T18:21:39.104579,68,31,100,41305,N/A
281,2026-02-04T18:21:46.039027,46,37,100,41405,N/A
282,2026-02-04T18:21:52.932627,13,81,100,41960,N/A
283,2026-02-04T18:22:00.779067,90,18,100,41098,N/A
284,2026-02-04T18:22:07.624566,17,47,100,41424,N/A
285,2026-02-04T18:22:14.940092,44,35,100,41383,N/A
286,2026-02-04T18:22:21.855929,20,71,100,41976,N/A
287,2026-02-04T18:22:29.567252,33,68,100,42034,N/A
288,2026-02-04T18:22:37.016487,28,24,100,41151,N/A
289,2026-02-04T18:22:43.736158,74,47,100,41482,N/A
290,2026-02-04T18:22:50.763615,11,46,100,41299,N/A
291,2026-02-04T18:22:57.953564,100,61,100,41964,N/A
292,2026-02-04T18:23:05.354551,70,51,100,41805,N/A
293,2026-02-04T18:23:12.437600,48,86,100,42109,N/A
294,2026-02-04T18:23:20.135752,40,58,100,41883,N/A
295,2026-02-04T18:23:27.510737,80,70,100,42033,N/A
296,2026-02-04T18:23:34.966571,63,55,100,41888,N/A
297,2026-02-04T18:23:42.292335,60,40,100,41390,N/A
298,2026-02-04T18:23:49.276537,79,83,100,42132,N/A
299,2026-02-04T18:23:56.967577,20,69,100,41954,N/A
300,2026-02-04T18:24:04.378576,95,21,100,41104,N/A
301,2026-02-04T18:24:11.149299,65,35,100,41360,N/A
302,2026-02-04T18:24:17.997760,12,38,100,41284,N/A
303,2026-02-04T18:24:25.212577,27,19,100,41071,N/A
304,2026-02-04T18:24:32.018901,81,23,100,41131,N/A
305,2026-02-04T18:24:38.661861,81,100,100,42138,N/A
306,2026-02-04T18:24:46.468555,15,98,100,41979,N/A
307,2026-02-04T18:24:54.497609,33,62,100,41962,N/A
308,2026-02-04T18:25:01.769605,32,12,100,40898,N/A
309,2026-02-04T18:25:08.415650,62,50,100,41758,N/A
311,2026-02-04T18:25:15.505713,17,24,100,41106,N/A
310,2026-02-04T18:25:22.331461,69,83,100,42096,N/A
312,2026-02-04T18:25:29.770861,94,38,100,41420,N/A
313,2026-02-04T18:25:36.797258,13,45,100,41289,N/A
314,2026-02-04T18:25:44.158967,61,30,100,41322,N/A
315,2026-02-04T18:25:51.023045,81,18,100,41031,N/A
316,2026-02-04T18:25:57.816626,27,36,100,41348,N/A
317,2026-02-04T18:26:04.687581,32,71,100,42072,N/A
318,2026-02-04T18:26:12.209196,29,74,100,42050,N/A
319,2026-02-04T18:26:19.709561,99,55,100,41889,N/A
320,2026-02-04T18:26:26.921568,86,93,100,42146,N/A
321,2026-02-04T18:26:34.657569,69,73,100,42062,N/A
322,2026-02-04T18:26:42.236183,53,71,100,42050,N/A
323,2026-02-04T18:26:49.670565,79,90,100,42124,N/A
324,2026-02-04T18:26:57.251519,9,73,100,41883,N/A
325,2026-02-04T18:27:04.831160,34,87,100,42105,N/A
326,2026-02-04T18:27:12.576745,52,31,100,41313,N/A
327,2026-02-04T18:27:19.581059,31,11,100,40855,N/A
328,2026-02-04T18:27:26.358532,100,16,100,41050,N/A
329,2026-02-04T18:27:33.067115,55,54,100,41849,N/A
330,2026-02-04T18:27:40.304566,14,18,100,41029,N/A
331,2026-02-04T18:27:47.019677,14,33,100,41249,N/A
333,2026-02-04T18:27:54.083663,31,2,100,40735,N/A
332,2026-02-04T18:28:00.333518,29,96,100,42109,N/A
